UniversalName,Strain,LatestSppName,Reservoir_of_this_strain,Genbank.accession,WholeGenome
Oita ledantevirus,NA,Oita ledantevirus,Orphan,NC_034548.1,1
Oliveros mammarenavirus,Oliveros virus,Oliveros mammarenavirus,Rodent,NC_010250.1; NC_010248.1,1
Omikronpapillomavirus 1,NA,Omikronpapillomavirus 1,Cetacean,JN709471.1,1
Omsk hemorrhagic fever virus,Omsk hemorrhagic fever virus,Omsk hemorrhagic fever virus,Rodent,NC_005062.1,1
Orf virus,NA,Orf virus,Artiodactyl,NC_005336.1,1
Oriboca orthobunyavirus,NA,Oriboca orthobunyavirus,NA,NC_034475.1; NC_034488.1; NC_034476.1,1
Oropouche orthobunyavirus,Oropouche virus,Oropouche orthobunyavirus,Orphan,NC_005776.1; NC_005775.1; NC_005777.1,1
Orthohepevirus A,"Hepatitis E virus, GT1",Orthohepevirus A,Human,M73218.1,1
Orthohepevirus B,Avian hepatitis E virus,Orthohepevirus B,Galliformes,NC_023425.1,1
Orthohepevirus C,Hepatitis E virus rat,Orthohepevirus C,Rodent,GU345042.1,1
Orthohepevirus D,Bat hepevirus,Orthohepevirus D,Vespbat,NC_018382.1,1
Orungo virus,NA,Orungo virus,Orphan,JQ610675.1; JQ610676.1; JQ610677.1; JQ610678.1; JQ610679.1; JQ610680.1; JQ610681.1; JQ610682.1; JQ610683.1; JQ610684.1,1
Oscivirus A,Oscivirus A1,Oscivirus A,Passeriformes,NC_014412.1,1
Ovine atadenovirus D,NA,Ovine atadenovirus D,Artiodactyl,NC_004037.2,1
Ovine gammaherpesvirus 2,NA,Ovine gammaherpesvirus 2,Artiodactyl,NC_007646.1,1
Ovine mastadenovirus A,NA,Ovine mastadenovirus A,Artiodactyl,NC_002513.1,1
Palyam virus,NA,Palyam virus,Artiodactyl,NC_005990.1; NC_005986.1; NC_005989.1; NC_005991.1; NC_005993.1; NC_005987.1; NC_005988.1; NC_005994.1; NC_005992.1; NC_005995.1,1
Panine betaherpesvirus 2,NA,Panine betaherpesvirus 2,NonHumanPrimate,NC_003521.1,1
Panine gammaherpesvirus 1,NA,Panine gammaherpesvirus 1,NonHumanPrimate,AJ581751.1,0
Papiine alphaherpesvirus 2,NA,Papiine alphaherpesvirus 2,NonHumanPrimate,NC_007653.1,1
Papiine gammaherpesvirus 1,NA,Papiine gammaherpesvirus 1,NonHumanPrimate,AJ581750.1,0
Paraiso Escondido virus,Paraiso Escondido virus,Paraiso Escondido virus,Insect,NC_027999.1,1
Paraná mammarenavirus,Parana virus,Paraguayan mammarenavirus,Rodent,NC_010761.1; NC_010756.1,1
Parapoxvirus of red deer in New Zealand,NA,Parapoxvirus of red deer in New Zealand,Artiodactyl,NC_025963.1,1
Parechovirus A,NA,Parechovirus A,Human,NC_001897.1,1
Parechovirus B,NA,Parechovirus B,Rodent,NC_003976.2,1
Parramatta River virus,Parramatta River virus,Parramatta River virus,Insect,NC_027817.1,1
Patois orthobunyavirus,NA,Patois orthobunyavirus,Orphan,NC_043690.1; NC_043691.1; NC_043689.1,1
Pegivirus A,GB virus A,Pegivirus A,NonHumanPrimate,NC_001837.1,1
Pegivirus C,GB virus C,Pegivirus C,Human,NC_001710.1,1
Pegivirus E,Equine pegivirus 1,Pegivirus E,Perissodactyla,NC_020902.1,1
Pegivirus H,Human pegivirus 2,Pegivirus H,Human,NC_027998.2,1
Perch perhabdovirus,Perch rhabdovirus,Perch perhabdovirus,Fish,NC_020803.1,1
Perinet vesiculovirus,Perinet virus,Perinet vesiculovirus,Orphan,NC_025394.1,1
Persimmon virus A,Persimmon virus A,Persimmon virus A,Plant,NC_018381.2,1
Peruvian horse sickness virus,NA,Peruvian horse sickness virus,Artiodactyl,NC_007748.1; NC_007749.1; NC_007750.1; NC_007751.1; NC_007755.1; NC_007752.1; NC_007756.1; NC_007754.1; NC_007753.1; NC_007757.1,1
Pestivirus Giraffe-1,Pestivirus Giraffe-1,Pestivirus Giraffe-1,Artiodactyl,NC_003678.1,1
Phacovirus Pf-CHK1/PhV,Phacovirus Pf-CHK1/PhV,Phacovirus Pf-CHK1/PhV,Orphan,KT880670.1,1
Phnom Penh bat virus,NA,Phnom Penh bat virus,Pterobat,NC_034007.1,1
Phocid alphaherpesvirus 1,NA,Phocid alphaherpesvirus 1,Carnivore,MH509440.2,1
Phocine morbillivirus,Phocine distemper virus,Phocine morbillivirus,Carnivore,NC_028249.1,1
Pichindé mammarenavirus,Pichinde arenavirus,Cali mammarenavirus,Rodent,NC_006439.1; NC_006447.1,1
Pipapillomavirus 1,NA,Pipapillomavirus 1,Rodent,NC_022647.1,1
Pipistrellus bat coronavirus HKU5,Bat coronavirus HKU5,Pipistrellus bat coronavirus HKU5,Vespbat,NC_009020.1,1
Pirital mammarenavirus,Pirital virus,Pirital mammarenavirus,Rodent,NC_005897.1; NC_005894.1,1
Piry vesiculovirus,NA,Piry vesiculovirus,NA,KU178986.1,1
Piscihepevirus A,Cutthroat trout virus,Piscihepevirus A,Fish,NC_015521.1,1
Piscine novirhabdovirus,Viral hemorrhagic septicemia virus,Piscine novirhabdovirus,Fish,NC_000855.1,1
Pixuna virus,NA,Pixuna virus,Rodent,AF075256.1,1
Pongine gammaherpesvirus 2,NA,Pongine gammaherpesvirus 2,NonHumanPrimate,AJ581753.1,0
Porcine astrovirus 2,Porcine astrovirus 2,Porcine astrovirus 2,Artiodactyl,NC_023674.1,1
Porcine astrovirus 3,Porcine astrovirus 3,Porcine astrovirus 3,Artiodactyl,NC_019494.1,1
Porcine astrovirus 4,Porcine astrovirus 4,Porcine astrovirus 4,Artiodactyl,NC_023675.1,1
Porcine astrovirus 5,Porcine astrovirus 5,Porcine astrovirus 5,Artiodactyl,NC_023636.1,1
Porcine circovirus 1,NA,Porcine circovirus 1,Artiodactyl,NC_001792.2,1
Porcine circovirus 2,NA,Porcine circovirus 2,Artiodactyl,NC_005148.1,1
Porcine epidemic diarrhea virus,Porcine epidemic diarrhea virus,Porcine epidemic diarrhea virus,Artiodactyl,NC_003436.1,1
Porcine mastadenovirus A,NA,Porcine mastadenovirus A,Artiodactyl,AC_000189.1,1
Porcine mastadenovirus B,NA,Porcine mastadenovirus B,Artiodactyl,U25120.1,0
Porcine mastadenovirus C,NA,Porcine mastadenovirus C,Artiodactyl,NC_002702.1,1
Porcine pestivirus isolate Bungowannah,Porcine pestivirus isolate Bungowannah,Pestivirus F,Orphan,NC_023176.1,1
Porcine reproductive and respiratory syndrome virus 1,NA,Betaarterivirus suid 1,Artiodactyl,AF046869.1,1
Porcine respirovirus 1,Porcine parainfluenza virus 1,Porcine respirovirus 1,Artiodactyl,NC_025402.1,1
Porcine rubulavirus,Porcine rubulavirus,Porcine orthorubulavirus,Artiodactyl,NC_009640.1,1
Porcine torovirus,Porcine torovirus,Porcine torovirus,Artiodactyl,NC_022787.1,1
Porcine type-C oncovirus,NA,Porcine type-C oncovirus,Artiodactyl,GU980187.1,1
Possum atadenovirus A,NA,Possum atadenovirus A,Diprotodontia,NA,NA
Potato yellow dwarf nucleorhabdovirus,Potato yellow dwarf virus,Potato yellow dwarf nucleorhabdovirus,Plant,NC_016136.1,1
Powassan virus,Powassan virus,Powassan virus,Rodent,NC_003687.1,1
Primate erythroparvovirus 1,NA,Primate erythroparvovirus 1,Human,NC_000883.2,1
Primate erythroparvovirus 2,NA,Primate erythroparvovirus 2,NonHumanPrimate,U26342.1,0
Primate erythroparvovirus 3,NA,Primate erythroparvovirus 3,NonHumanPrimate,AF221122.1,0
Primate erythroparvovirus 4,NA,Primate erythroparvovirus 4,NonHumanPrimate,AF221123.1,0
Primate T-lymphotropic virus 1,Human T-lymphotropic virus 1,Primate T-lymphotropic virus 1,Human,NC_001436.1,1
Primate T-lymphotropic virus 2,Human T-lymphotropic virus 2,Primate T-lymphotropic virus 2,Human,Y13051.1,1
Primate T-lymphotropic virus 3,Human T-lymphotropic virus 3,Primate T-lymphotropic virus 3,Human,EU649782.1,1
Pronghorn antelope pestivirus,Pronghorn antelope pestivirus,Pestivirus E,Artiodactyl,NC_024018.2,1
Prospect Hill orthohantavirus,NA,Prospect Hill orthohantavirus,Rodent,X55129.1,0
Pseudocowpox virus,NA,Pseudocowpox virus,Artiodactyl,NC_013804.1,1
Puerto Almendras almendravirus,Puerto Almendras virus,Puerto Almendras almendravirus,Orphan,NC_025395.1,1
Puma lentivirus,NA,Puma lentivirus,Carnivore,U03982.1,1
Punta Toro phlebovirus,NA,Punta Toro phlebovirus,Orphan,NC_027203.1; NC_027201.1; NC_027202.1,1
Puumala orthohantavirus,Puumala virus,Puumala orthohantavirus,Rodent,NC_005225.1; NC_005223.1; NC_005224.1,1
Qalyub orthonairovirus,NA,Qalyub orthonairovirus,Rodent,KU925446.1; KU925447.1; KU925448.1,0
Qinghai Himalayan marmot astrovirus 1,Qinghai Himalayan marmot astrovirus 1,Qinghai Himalayan marmot astrovirus 1,Rodent,NC_033792.1,1
Qinghai Himalayan marmot astrovirus 2,Qinghai Himalayan marmot astrovirus 2,Qinghai Himalayan marmot astrovirus 2,Rodent,NC_033821.1,1
Quang Binh virus,Mosquito flavivirus,Quang Binh virus,Insect,NC_021069.1,1
Quaranfil virus,NA,Quaranfil quaranjavirus,NA,GQ499302.1; GQ499303.1; FJ861695.1; JN412853.1; FJ861694.1; GQ499304.1,1
Rabbit astrovirus TN/2208/2010,Rabbit astrovirus TN/2208/2010,Rabbit astrovirus TN/2208/2010,Lagomorph,NC_025346.1,1
Rabbit coronavirus HKU14,Rabbit coronavirus HKU14,Rabbit coronavirus HKU14,Lagomorph,NC_017083.1,1
Rabbit fibroma virus,NA,Rabbit fibroma virus,Lagomorph,NC_001266.1,1
Rabbit hemorrhagic disease virus,Rabbit hemorrhagic disease virus,Rabbit hemorrhagic disease virus,Lagomorph,NC_001543.1,1
Rabbit vesivirus,Rabbit vesivirus,Rabbit vesivirus,Lagomorph,NC_008580.1,1
Rabies lyssavirus,"Rabies virus isolate RV2772, complete genome.",Rabies lyssavirus,Carnivore,KF155002.1,1
Raccoonpox virus,NA,Raccoonpox virus,Carnivore,NC_027213.1,1
Reptile sunshinevirus 1,Sunshine virus,Reptile sunshinevirus 1,Reptile,NC_025345.1,1
Reptilian ferlavirus,Fer-de-Lance paramyxovirus,Reptilian ferlavirus,Reptile,NC_005084.2,1
Reston ebolavirus,Reston ebolavirus,Reston ebolavirus,Orphan,NC_004161.1,1
Rhinolophus bat coronavirus HKU2,Rhinolophus bat coronavirus HKU2,Rhinolophus bat coronavirus HKU2,Pterobat,NC_009988.1,1
Rhinovirus A,Rhinovirus A,Rhinovirus A,Human,NC_001617.1,1
Rhinovirus B,Human rhinovirus B52,Rhinovirus B,Human,FJ445188.1,1
Rhinovirus C,Rhinovirus C,Rhinovirus C,Human,NC_009996.1,1
Rice yellow stunt nucleorhabdovirus,Rice yellow stunt virus,Rice yellow stunt nucleorhabdovirus,Plant,NC_003746.1,1
Rift Valley fever phlebovirus,Rift Valley fever virus,Rift Valley fever phlebovirus,Artiodactyl,NC_014397.1; NC_014396.1; NC_014395.1,1
Rinderpest morbillivirus,Rinderpest virus,Rinderpest morbillivirus,Artiodactyl,NC_006296.2,1
Rio Bravo virus,Rio Bravo virus,Rio Bravo virus,Vespbat,JQ582840.1,1
Rio Negro virus,NA,Rio Negro virus,Rodent,AF075258.1,1
Rodent erythroparvovirus 1,NA,Rodent erythroparvovirus 1,Orphan,GQ200736.1,1
Rodent protoparvovirus 1,NA,Rodent protoparvovirus 1,Rodent,NC_001510.1,1
Rodent protoparvovirus 2,NA,Rodent protoparvovirus 2,Rodent,AF036710.1,1
Ross River virus,Ross River virus,Ross River virus,Diprotodontia,GQ433354.1,1
Rotavirus A,RVA/Human-wt/ITA/111-05-27/2005/G6P[14],Rotavirus A,Human,EF554137.1; EF554138.1; EF554139.1; EF554140.1; EF554143.1; EF554141.1; EF554145.1; EF554142.1; EF554144.1; EF554146.1; EF554147.1,1
Rotavirus B,NA,Rotavirus B,Human,NC_021541.1; NC_021545.1; NC_021551.1; NC_021543.1; NC_021546.1; NC_021544.1; NC_021547.1; NC_021548.1; NC_021542.1; NC_021550.1; NC_021549.1,1
Rotavirus C,NA,Rotavirus C,Human,NC_007547.1; NC_007546.1; NC_007572.1; NC_007574.1; NC_007570.1; NC_007543.1; NC_007544.1; NC_007571.1; NC_007545.1; NC_007569.1; NC_007573.1,1
Rotavirus E,NA,Rotavirus E,Artiodactyl,NA,NA
Alethinophid 3 reptarenavirus,CAS virus,Rotterdam reptarenavirus,Reptile,NC_018484.1; NC_018481.1,1
Rousettus bat coronavirus HKU9,Bat coronavirus HKU9,Rousettus bat coronavirus HKU9,Pterobat,NC_009021.1,1
Royal Farm virus,Karshi virus,Royal Farm virus,Orphan,NC_006947.1,1
Rubella virus,Rubella virus,Rubella virus,Human,NC_001545.2,1
Sabiá mammarenavirus,Sabia virus,Brazilian mammarenavirus,Rodent,NC_006313.1; NC_006317.1,1
Saboya virus,NA,Saboya virus,NA,NC_033697.1,1
Saguinine gammaherpesvirus 1,NA,Saguinine gammaherpesvirus 1,NonHumanPrimate,NA,NA
Saimiriine alphaherpesvirus 1,NA,Saimiriine alphaherpesvirus 1,NonHumanPrimate,NC_014567.1,1
Saimiriine gammaherpesvirus 2,NA,Saimiriine gammaherpesvirus 2,NonHumanPrimate,NC_001350.1,1
Sakobuvirus A,Feline sakobuvirus A,Sakobuvirus A,Carnivore,NC_022802.1,1
Sal Vieja virus,NA,Sal Vieja virus,Rodent,NA,NA
Salehabad phlebovirus,NA,Salehabad phlebovirus,Orphan,NC_029127.1; NC_029128.1; NC_029129.1,1
Salem virus,Salem virus,Salem virus,Perissodactyla,NC_025386.1,1
Salivirus A,Salivirus CH,Salivirus A,Human,NC_012986.1,1
Salmon aquaparamyxovirus,Atlantic salmon paramyxovirus,Salmon aquaparamyxovirus,Fish,NC_025360.1,1
Salmon pancreas disease virus,Salmon pancreas disease virus,Salmon pancreas disease virus,Fish,NC_003930.1,1
Salmonid novirhabdovirus,Infectious hematopoietic necrosis virus,Salmonid novirhabdovirus,Fish,NC_001652.1,1
San Miguel sea lion virus 8,San Miguel sea lion virus 8,San Miguel sea lion virus 8,Carnivore,NC_025676.1,1
San Perlita virus,NA,San Perlita virus,Rodent,NA,NA
Sandfly fever Naples phlebovirus,Sandfly fever Naples virus,Sandfly fever Naples phlebovirus,Orphan,NC_006319.1; NC_006320.1; NC_006318.1,1
Sandfly fever Sicilian virus,Sandfly fever Sicilian virus,Sandfly fever Sicilian virus,Human,NC_015412.1; NC_015411.1; NC_015413.1,1
Sapelovirus A,NA,Sapelovirus A,Artiodactyl,NC_003987.1,1
Sapporo virus,Sapovirus GII,Sapporo virus,Human,NC_006554.1,1
Scophthalmus maximus rhabdovirus,Scophthalmus maximus rhabdovirus,Scophthalmus maximus rhabdovirus,Fish,NC_025387.1,1
Scotophilus bat coronavirus 512,Bat coronavirus 512,Scotophilus bat coronavirus 512,Vespbat,NC_009657.1,1
Semliki Forest virus,Semliki Forest virus,Semliki Forest virus,Orphan,NC_003215.1,1
Seoul orthohantavirus,Seoul virus,Seoul orthohantavirus,Rodent,NC_005238.1; NC_005237.1; NC_005236.1,1
Sepik virus,Sepik virus,Sepik virus,Artiodactyl,NC_008719.1,1
Severe acute respiratory syndrome-related coronavirus,Human SARS coronavirus,Severe acute respiratory syndrome-related coronavirus,Pterobat,NC_004718.3,1
SFTS phlebovirus,Severe fever with thrombocytopenia syndrome virus,Huaiyangshan banyangvirus,Orphan,NC_018136.1; NC_018138.1; NC_018137.1,1
Shamonda orthobunyavirus,NA,Schmallenberg orthobunyavirus,Artiodactyl,NC_018463.1; NC_018467.1; NC_018464.1,1
Sheeppox virus,NA,Sheeppox virus,Artiodactyl,NC_004002.1,1
Shimoni bat lyssavirus,Shimoni bat virus,Shimoni bat lyssavirus,Pterobat,NC_025365.1,1
Shuni orthobunyavirus,NA,Shuni orthobunyavirus,Artiodactyl,NC_018465.1; NC_018459.1; NC_018460.1,1
Sicinivirus A,Sicinivirus A,Sicinivirus A,Galliformes,NC_023861.1,1
Simbu orthobunyavirus,NA,Simbu orthobunyavirus,NA,NC_018476.1; NC_018478.1; NC_018477.1,1
Simian foamy virus,NA,Western chimpanzee simian foamy virus,NonHumanPrimate,NC_001364.1,1
Simian hemorrhagic fever virus,NA,Deltaarterivirus hemfev,NonHumanPrimate,NC_003092.2,1
Simian immunodeficiency virus,NA,Simian immunodeficiency virus,NonHumanPrimate,NC_001549.1,1
Simian rubulavirus,Simian virus 41,Simian orthorubulavirus,Orphan,NC_006428.1,1
Sin Nombre orthohantavirus,Sin Nombre virus,Sin Nombre orthohantavirus,Rodent,NC_005217.1; NC_005215.1; NC_005216.1,1
Sindbis virus,Kyzylagach virus,Sindbis virus,Orphan,KF981618.1,1
Siniperca chuatsi rhabdovirus,Siniperca chuatsi rhabdovirus,Siniperca chuatsi rhabdovirus,Fish,NC_008514.1,1
Skinner Tank virus,Skinner Tank virus,Skinner Tank virus,Rodent,EU123328.1,0
Small ruminant morbillivirus,Peste-des-petits-ruminants virus,Small ruminant morbillivirus,Artiodactyl,NC_006383.2,1
Snakehead novirhabdovirus,Snakehead virus,Snakehead novirhabdovirus,Fish,NC_000903.1,1
Sokoluk virus,Sokoluk virus,Sokoluk virus,Vespbat,NC_026624.1,1
Sonchus yellow net nucleorhabdovirus,Sonchus yellow net virus,Sonchus yellow net nucleorhabdovirus,Plant,NC_001615.3,1
Sosuga rubulavirus,Sosuga virus,Sosuga pararubulavirus,Pterobat,NC_025343.1,1
Southern elephant seal virus,Southern elephant seal virus,Southern elephant seal virus,Carnivore,NC_016960.1,1
Spanish goat encephalitis virus,Spanish goat encephalitis virus,Spanish goat encephalitis virus,Orphan,NC_027709.1,1
Sparrow coronavirus HKU17,Sparrow coronavirus HKU17,Sparrow coronavirus HKU17,Orphan,NC_016992.1,1
Spodoptera frugiperda rhabdovirus,Spodoptera frugiperda rhabdovirus,Spodoptera frugiperda rhabdovirus,Insect,NC_025382.1,1
Spondweni virus,Spondweni virus,Spondweni virus,Orphan,NC_029055.1,1
Squirrel fibroma virus,NA,Squirrel fibroma virus,Rodent,NA,NA
Squirrel monkey retrovirus,NA,Squirrel monkey retrovirus,NonHumanPrimate,NC_001514.1,1
Squirrelpox virus,NA,Squirrelpox virus,Rodent,NC_022563.1,1
St-Valerien swine virus,Calicivirus pig AB90,St-Valerien swine virus,Artiodactyl,NC_012699.1,1
St. Louis encephalitis virus,St. Louis encephalitis virus,Saint Louis encephalitis virus,Passeriformes,NC_007580.2,1
Steller sea lion vesivirus,Steller sea lion vesivirus,Steller sea lion vesivirus,Carnivore,NC_011050.1,1
Sudan ebolavirus,Sudan ebolavirus,Sudan ebolavirus,Orphan,NC_006432.1,1
Suid alphaherpesvirus 1,NA,Suid alphaherpesvirus 1,Artiodactyl,NC_006151.1,1
Sunguru virus,Sunguru virus,Sunguru virus,Orphan,NC_025401.1,1
Swinepox virus,NA,Swinepox virus,Artiodactyl,NC_003389.1,1
Tacaiuma orthobunyavirus,NA,Tacaiuma orthobunyavirus,NA,MF497779.1; MF497777.1; MF497772.1,1
Tacaribe mammarenavirus,Tacaribe virus,Tacaribe mammarenavirus,Vespbat,NC_004292.1; NC_004293.1,1
Taï Forest ebolavirus,Tai Forest ebolavirus,Tai Forest ebolavirus,Orphan,NC_014372.1,1
Tailam virus,Tailam virus,Tailam virus,Rodent,NC_025355.1,1
Tamana bat virus,Tamana bat virus,Tamana bat virus,Vespbat,NC_003996.1,1
Tamiami mammarenavirus,Tamiami virus,Tamiami mammarenavirus,Rodent,NC_010702.1; NC_010701.1,1
Tanapox virus,NA,Tanapox virus,NonHumanPrimate,NC_002642.1,1
Taro vein chlorosis nucleorhabdovirus,Taro vein chlorosis virus,Taro vein chlorosis nucleorhabdovirus,Plant,NC_006942.1,1
Taterapox virus,NA,Taterapox virus,Rodent,NC_008291.1,1
Tembusu virus,Tembusu virus,Tembusu virus,Orphan,NC_015843.2,1
Pike fry sprivivirus,Tench rhabdovirus S64,Pike fry sprivivirus,Fish,NC_025371.1,1
Teschovirus A,NA,Teschovirus A,Artiodactyl,NC_003985.1,1
Thailand orthohantavirus,NA,Thailand orthohantavirus,Rodent,NC_034556.1; NC_034563.1; NC_034555.1,1
Thiafora orthonairovirus,NA,Thiafora orthonairovirus,NA,NC_029909.1; NC_029934.1; NC_029910.1,1
Thogoto virus,NA,Thogoto thogotovirus,Orphan,NC_006508.1; NC_006495.1; NC_006496.1; NC_006506.1; NC_006507.1; NC_006504.1,1
Thottapalayam orthohantavirus,Thottapalayam virus,Thottopalayam thottimvirus,Soricomorph,NC_010707.1; NC_010708.1; NC_010704.1,1
Tibrogargan tibrovirus,Tibrogargan virus,Tibrogargan tibrovirus,Artiodactyl,NC_020804.1,1
Tick-borne encephalitis virus,Tick-borne encephalitis virus,Tick-borne encephalitis virus,Rodent,NC_001672.1,1
Tioman rubulavirus,Tioman virus,Tioman pararubulavirus,Pterobat,NC_004074.1,1
Tomato spotted wilt orthotospovirus,Tomato spotted wilt virus,Tomato spotted wilt tospovirus,Plant,NC_002052.1; NC_002050.1; NC_002051.1,1
Tomato zonate spot virus,Tomato zonate spot virus,Tomato zonate spot virus,Plant,NC_010491.1; NC_010490.1; NC_010489.1,1
Tonate virus,NA,Tonate virus,Passeriformes,AF075254.1,1
Tree shrew mastadenovirus A,NA,Tree shrew mastadenovirus A,Scandentia,AC_000190.1,1
Tremovirus A,Avian encephalomyelitis virus,Tremovirus A,Galliformes,NC_003990.1,1
Tuhoko rubulavirus 1,Tuhoko virus 1,Tuhoko pararubulavirus 1,Pterobat,NC_025410.1,1
Tuhoko rubulavirus 2,Tuhoko virus 2,Tuhoko pararubulavirus 2,Pterobat,NC_025348.1,1
Tuhoko rubulavirus 3,Tuhoko virus 3,Tuhoko pararubulavirus 3,Pterobat,NC_025350.1,1
Tula orthohantavirus,Tula virus,Tula orthohantavirus,Rodent,NC_005226.1; NC_005228.1; NC_005227.2,1
Tulane virus,Tulane virus,Tulane virus,NonHumanPrimate,EU391643.1,1
Tupaia hepatovirus A,Tupaia hepatovirus A,Tupaia hepatovirus A,Scandentia,NC_028981.1,1
Tupaia paramyxovirus,Tupaia paramyxovirus,Tupaia paramyxovirus,Scandentia,NC_002199.1,1
Tupaia tupavirus,Tupaia virus,Tupaia tupavirus,Scandentia,NC_007020.1,1
Tupaiid betaherpesvirus 1,NA,Tupaiid betaherpesvirus 1,Scandentia,NC_002794.1,1
Turkey calicivirus,Turkey calicivirus,Turkey calicivirus,Galliformes,JQ347522.1,1
Turlock orthobunyavirus,NA,Turlock orthobunyavirus,Passeriformes,MK514125.1; MK514122.1; MK514119.1,1
Tylonycteris bat coronavirus HKU4,Bat coronavirus HKU4,Tylonycteris bat coronavirus HKU4,Vespbat,NC_009019.1,1
Tyuleniy virus,Tyuleniy virus,Tyuleniy virus,Charadriiformes,NC_023424.1,1
Uganda S virus,NA,Uganda S virus,Rodent,NC_033698.1,1
Una virus,Una virus,Una virus,NonHumanPrimate,HM147992.1,1
Ungulate bocaparvovirus 1,NA,Ungulate bocaparvovirus 1,Artiodactyl,NC_001540.1,1
Ungulate protoparvovirus 1,NA,Ungulate protoparvovirus 1,Artiodactyl,NC_001718.1,1
Usutu virus,Usutu virus,Usutu virus,MULTIPLE,NC_006551.1,1
Uukuniemi phlebovirus,Uukuniemi virus,Uukuniemi phlebovirus,Orphan,NC_005214.1; NC_005220.1; NC_005221.1,1
Vaccinia virus,NA,Vaccinia virus,NONE,NA,NA
Variola virus,NA,Variola virus,Human,NC_001611.1,1
Venezuelan equine encephalitis virus,Subtype IE (enzootic),Venezuelan equine encephalitis virus,Rodent,KC344449.1,1
Vesicular exanthema of swine virus,Vesicular exanthema of swine virus,Vesicular exanthema of swine virus,Artiodactyl,NC_002551.1,1
Vesivirus ferret badger/JX12/China/2012,Vesivirus ferret badger,Vesivirus ferret badger/JX12/China/2012,Carnivore,NC_027122.1,1
Visna/maedi virus,NA,Visna-maedi virus,Artiodactyl,NC_001452.1,1
Volepox virus,NA,Volepox virus,Rodent,NC_031033.1,1
Wad Medani virus,NA,Wad Medani virus,NA,NC_027533.1; NC_027539.1; NC_027540.1; NC_027541.1; NC_027542.1; NC_027543.1; NC_027544.1; NC_027545.1; NC_027546.1; NC_027547.1,1
Wallal virus,NA,Wallal virus,Macropod,NC_022553.1; NC_022554.1; NC_022555.1; NC_022560.1; NC_022556.1; NC_022561.1; NC_022562.1; NC_022557.1; NC_022558.1; NC_022559.1,1
Warrego virus,NA,Warrego virus,Macropod,KJ495755.1; KJ495756.1; KJ495757.1; KJ495758.1; KJ495759.1; KJ495760.1; KJ495762.1; KJ495761.1; KJ495763.1; KJ495764.1,1
Watermelon silver mottle orthotospovirus,Watermelon silver mottle virus,Watermelon silver mottle tospovirus,Plant,NC_003832.1; NC_003841.1; NC_003843.1,1
Wenzhou mammarenavirus,Wenzhou virus,Wenzhou mammarenavirus,Rodent,NC_026019.1; NC_026018.1,1
Wesselsbron virus,Wesselsbron virus,Wesselsbron virus,Orphan,NC_012735.1,1
West Caucasian bat lyssavirus,West Caucasian bat virus,West Caucasian bat lyssavirus,Vespbat,NC_025377.1,1
West Nile virus,West Nile virus,West Nile virus,Passeriformes,NC_001563.2,1
Western equine encephalitis virus,Western equine encephalitis virus,Western equine encephalitis virus,Passeriformes,NC_003908.1,1
Whataroa virus,Whataroa virus,Whataroa virus,Passeriformes,NC_016961.1,1
White bream virus,White bream virus,White bream virus,Fish,NC_008516.1,1
White-eye coronavirus HKU16,White-eye coronavirus HKU16,White-eye coronavirus HKU16,Orphan,NC_016991.1,1
Whitewater Arroyo mammarenavirus,Whitewater arroyo virus,Whitewater Arroyo mammarenavirus,Rodent,NC_010703.1; NC_010700.1,1
Wigeon coronavirus HKU20,Wigeon coronavirus HKU20,Wigeon coronavirus HKU20,Orphan,NC_016995.1,1
Wongabel hapavirus,Wongabel virus,Wongabel hapavirus,Orphan,NC_011639.1,1
Wongorr virus,NA,Wongorr virus,NA,NA,NA
Woodchuck hepatitis virus,NA,Woodchuck hepatitis virus,Rodent,NC_004107.1,1
Woolly monkey sarcoma virus,NA,Woolly monkey sarcoma virus,NonHumanPrimate,NC_009424.5,1
Wyeomyia orthobunyavirus,NA,Wyeomyia orthobunyavirus,Orphan,NC_034212.1; NC_034213.1; NC_034211.1,1
Xiburema virus,Xiburema virus,Xiburema virus,Orphan,NC_025362.1,1
Xipapillomavirus 1,NA,Xipapillomavirus 1,Artiodactyl,NC_004197.1,1
Yaba monkey tumor virus,NA,Yaba monkey tumor virus,NonHumanPrimate,NC_005179.1,1
Yellow fever virus,Yellow fever virus – African urban cycle,Yellow fever virus,Human,JX898871.1,1
Yokose virus,Yokose virus,Yokose virus,Vespbat,NC_005039.1,1
Yug Bogdanovac vesiculovirus,Yug Bogdanovac virus,Yug Bogdanovac vesiculovirus,Orphan,NC_025378.1,1
Zaire ebolavirus,Zaire ebolavirus,Zaire ebolavirus,Pterobat,NC_002549.1,1
Zegla orthobunyavirus,NA,Zegla orthobunyavirus,Orphan,NC_043687.1; NC_043688.1; NC_043686.1,1
Zetapapillomavirus 1,NA,Zetapapillomavirus 1,Perissodactyla,NC_003748.1,1
Zika virus,Zika virus,Zika virus,Orphan,NC_012532.1,1
African green monkey polyomavirus,NA,African green monkey polyomavirus,NonHumanPrimate,NC_004763.2,1
Bhanja virus,NA,Bhanja virus,Artiodactyl,NC_027140.1; NC_027141.1; NC_027142.1,1
Choclo orthohantavirus,NA,Choclo orthohantavirus,Rodent,NC_038374.1; NC_038373.1,1
Ekpoma 1 tibrovirus,NA,Ekpoma 1 tibrovirus,Orphan,NC_038282.1,1
